Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3723017596649958
75% Corpus,2,0.01,0.31,0.37540798178715246
75% Corpus,2,0.01,0.61,0.3499046757237554
75% Corpus,2,0.01,0.9099999999999999,0.3716289633273727
75% Corpus,2,0.01,symmetric,0.3364637722971374
75% Corpus,2,0.31,0.01,0.3637559398883676
75% Corpus,2,0.31,0.31,0.3671111312252351
75% Corpus,2,0.31,0.61,0.3624105198214611
75% Corpus,2,0.31,0.9099999999999999,0.3528698447818068
75% Corpus,2,0.31,symmetric,0.3646987880031305
75% Corpus,2,0.61,0.01,0.3688631136708559
75% Corpus,2,0.61,0.31,0.35923448793370605
75% Corpus,2,0.61,0.61,0.3560827811609808
75% Corpus,2,0.61,0.9099999999999999,0.3534849809105228
75% Corpus,2,0.61,symmetric,0.3608868953366933
75% Corpus,2,0.9099999999999999,0.01,0.38296031392493074
75% Corpus,2,0.9099999999999999,0.31,0.36818476861555316
75% Corpus,2,0.9099999999999999,0.61,0.35705796371777393
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3626281598076214
75% Corpus,2,0.9099999999999999,symmetric,0.3520521804426539
75% Corpus,2,symmetric,0.01,0.3743579190436198
75% Corpus,2,symmetric,0.31,0.3823075697618247
75% Corpus,2,symmetric,0.61,0.3558537114879098
75% Corpus,2,symmetric,0.9099999999999999,0.35554634695723264
75% Corpus,2,symmetric,symmetric,0.35258921787523767
75% Corpus,2,asymmetric,0.01,0.3615671591127342
75% Corpus,2,asymmetric,0.31,0.3512195012989985
75% Corpus,2,asymmetric,0.61,0.38395634087378716
75% Corpus,2,asymmetric,0.9099999999999999,0.37262118399489974
75% Corpus,2,asymmetric,symmetric,0.38320848181147005
75% Corpus,3,0.01,0.01,0.35714785566449875
75% Corpus,3,0.01,0.31,0.3574847977681759
75% Corpus,3,0.01,0.61,0.35494291241240966
75% Corpus,3,0.01,0.9099999999999999,0.3578549950706413
75% Corpus,3,0.01,symmetric,0.3662083765968522
75% Corpus,3,0.31,0.01,0.3499024750054598
75% Corpus,3,0.31,0.31,0.3606014699536295
75% Corpus,3,0.31,0.61,0.35961889866732905
75% Corpus,3,0.31,0.9099999999999999,0.36568972284023643
75% Corpus,3,0.31,symmetric,0.35870544887716654
75% Corpus,3,0.61,0.01,0.3328053236729099
75% Corpus,3,0.61,0.31,0.352162898336941
75% Corpus,3,0.61,0.61,0.32960150061506
75% Corpus,3,0.61,0.9099999999999999,0.35743116327172647
75% Corpus,3,0.61,symmetric,0.3491192407510671
75% Corpus,3,0.9099999999999999,0.01,0.33901746036003155
75% Corpus,3,0.9099999999999999,0.31,0.3306268730751716
75% Corpus,3,0.9099999999999999,0.61,0.3465036476563627
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.35283665610897197
75% Corpus,3,0.9099999999999999,symmetric,0.33802626162538546
75% Corpus,3,symmetric,0.01,0.35579767480236124
75% Corpus,3,symmetric,0.31,0.3590454231448341
75% Corpus,3,symmetric,0.61,0.35639620129408284
75% Corpus,3,symmetric,0.9099999999999999,0.3623092175775919
75% Corpus,3,symmetric,symmetric,0.3574847977681759
75% Corpus,3,asymmetric,0.01,0.3332627121326269
75% Corpus,3,asymmetric,0.31,0.36790803429493263
75% Corpus,3,asymmetric,0.61,0.42717794081334376
75% Corpus,3,asymmetric,0.9099999999999999,0.43500476336026667
75% Corpus,3,asymmetric,symmetric,0.37470277081040676
75% Corpus,4,0.01,0.01,0.34929573936957636
75% Corpus,4,0.01,0.31,0.3396920592905765
75% Corpus,4,0.01,0.61,0.36425429857218417
75% Corpus,4,0.01,0.9099999999999999,0.34212885535204857
75% Corpus,4,0.01,symmetric,0.34727663772646
75% Corpus,4,0.31,0.01,0.3653608074629374
75% Corpus,4,0.31,0.31,0.34348421318742484
75% Corpus,4,0.31,0.61,0.3446132328644612
75% Corpus,4,0.31,0.9099999999999999,0.35840587045838057
75% Corpus,4,0.31,symmetric,0.3435630549750032
75% Corpus,4,0.61,0.01,0.35459516319443707
75% Corpus,4,0.61,0.31,0.3511865829519015
75% Corpus,4,0.61,0.61,0.3506868201153558
75% Corpus,4,0.61,0.9099999999999999,0.3459289191502624
75% Corpus,4,0.61,symmetric,0.34851003236560174
75% Corpus,4,0.9099999999999999,0.01,0.3439835481825673
75% Corpus,4,0.9099999999999999,0.31,0.3440543666194115
75% Corpus,4,0.9099999999999999,0.61,0.3430364632668056
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.35229638820261877
75% Corpus,4,0.9099999999999999,symmetric,0.3523503148212491
75% Corpus,4,symmetric,0.01,0.35703479502025115
75% Corpus,4,symmetric,0.31,0.3464279405806916
75% Corpus,4,symmetric,0.61,0.3478850210898221
75% Corpus,4,symmetric,0.9099999999999999,0.34672142166451086
75% Corpus,4,symmetric,symmetric,0.33350175793763925
75% Corpus,4,asymmetric,0.01,0.3233948649346491
75% Corpus,4,asymmetric,0.31,0.3632096647114784
75% Corpus,4,asymmetric,0.61,0.370745523158773
75% Corpus,4,asymmetric,0.9099999999999999,0.4335007420860825
75% Corpus,4,asymmetric,symmetric,0.34521564926283677
75% Corpus,5,0.01,0.01,0.39105361461510774
75% Corpus,5,0.01,0.31,0.3669710793702074
75% Corpus,5,0.01,0.61,0.37038352081683545
75% Corpus,5,0.01,0.9099999999999999,0.37051359950188
75% Corpus,5,0.01,symmetric,0.371984344508219
75% Corpus,5,0.31,0.01,0.3932782727709546
75% Corpus,5,0.31,0.31,0.37089290676478603
75% Corpus,5,0.31,0.61,0.36642357763408406
75% Corpus,5,0.31,0.9099999999999999,0.37000346859335825
75% Corpus,5,0.31,symmetric,0.3832998895489865
75% Corpus,5,0.61,0.01,0.4023417136342443
75% Corpus,5,0.61,0.31,0.37570635750974785
75% Corpus,5,0.61,0.61,0.372800484667266
75% Corpus,5,0.61,0.9099999999999999,0.35837491706580016
75% Corpus,5,0.61,symmetric,0.38772966639661943
75% Corpus,5,0.9099999999999999,0.01,0.41175489001897797
75% Corpus,5,0.9099999999999999,0.31,0.37527827787428425
75% Corpus,5,0.9099999999999999,0.61,0.3702792064329737
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3905183477410475
75% Corpus,5,0.9099999999999999,symmetric,0.3977027005611312
75% Corpus,5,symmetric,0.01,0.4023440349476769
75% Corpus,5,symmetric,0.31,0.37892844797391223
75% Corpus,5,symmetric,0.61,0.3737680614363457
75% Corpus,5,symmetric,0.9099999999999999,0.39108321923786293
75% Corpus,5,symmetric,symmetric,0.3996844120305018
75% Corpus,5,asymmetric,0.01,0.39490008735552007
75% Corpus,5,asymmetric,0.31,0.3546517721487731
75% Corpus,5,asymmetric,0.61,0.39380446914617884
75% Corpus,5,asymmetric,0.9099999999999999,0.4327238126319647
75% Corpus,5,asymmetric,symmetric,0.36582434088495047
75% Corpus,6,0.01,0.01,0.46205304093873617
75% Corpus,6,0.01,0.31,0.4796919386064993
75% Corpus,6,0.01,0.61,0.4999070867675138
75% Corpus,6,0.01,0.9099999999999999,0.4747576057948823
75% Corpus,6,0.01,symmetric,0.46499118166619047
75% Corpus,6,0.31,0.01,0.44885520229207915
75% Corpus,6,0.31,0.31,0.47689469402546436
75% Corpus,6,0.31,0.61,0.4876463806335598
75% Corpus,6,0.31,0.9099999999999999,0.4822872284341111
75% Corpus,6,0.31,symmetric,0.46535360919891705
75% Corpus,6,0.61,0.01,0.44848843261093724
75% Corpus,6,0.61,0.31,0.46381063418826907
75% Corpus,6,0.61,0.61,0.4685871270829059
75% Corpus,6,0.61,0.9099999999999999,0.5120606695398614
75% Corpus,6,0.61,symmetric,0.45353927051572734
75% Corpus,6,0.9099999999999999,0.01,0.43471596861183964
75% Corpus,6,0.9099999999999999,0.31,0.4480326495810348
75% Corpus,6,0.9099999999999999,0.61,0.4868998155217659
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5199801634272696
75% Corpus,6,0.9099999999999999,symmetric,0.4220405814960612
75% Corpus,6,symmetric,0.01,0.45882400142401325
75% Corpus,6,symmetric,0.31,0.48031423246115734
75% Corpus,6,symmetric,0.61,0.4913962160085661
75% Corpus,6,symmetric,0.9099999999999999,0.48834249022276977
75% Corpus,6,symmetric,symmetric,0.44530324629245593
75% Corpus,6,asymmetric,0.01,0.4354932933243456
75% Corpus,6,asymmetric,0.31,0.42231456558977926
75% Corpus,6,asymmetric,0.61,0.4170643701257422
75% Corpus,6,asymmetric,0.9099999999999999,0.37253040615030947
75% Corpus,6,asymmetric,symmetric,0.4107700131930044
75% Corpus,7,0.01,0.01,0.46219156827293484
75% Corpus,7,0.01,0.31,0.4651346918885934
75% Corpus,7,0.01,0.61,0.4695385100191364
75% Corpus,7,0.01,0.9099999999999999,0.47862126732564125
75% Corpus,7,0.01,symmetric,0.46938186118711467
75% Corpus,7,0.31,0.01,0.45869958210324235
75% Corpus,7,0.31,0.31,0.4817611160146361
75% Corpus,7,0.31,0.61,0.39704877345838546
75% Corpus,7,0.31,0.9099999999999999,0.458403871091663
75% Corpus,7,0.31,symmetric,0.4624015741337195
75% Corpus,7,0.61,0.01,0.45888451957922377
75% Corpus,7,0.61,0.31,0.4007410366137489
75% Corpus,7,0.61,0.61,0.38748365084583897
75% Corpus,7,0.61,0.9099999999999999,0.3842014684935027
75% Corpus,7,0.61,symmetric,0.44863527913382356
75% Corpus,7,0.9099999999999999,0.01,0.4459213751791931
75% Corpus,7,0.9099999999999999,0.31,0.376747992414618
75% Corpus,7,0.9099999999999999,0.61,0.368434428086398
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.36704463734956044
75% Corpus,7,0.9099999999999999,symmetric,0.4069172315298566
75% Corpus,7,symmetric,0.01,0.45436209236825686
75% Corpus,7,symmetric,0.31,0.47017612914207796
75% Corpus,7,symmetric,0.61,0.4695067272462214
75% Corpus,7,symmetric,0.9099999999999999,0.4858073807811975
75% Corpus,7,symmetric,symmetric,0.45754036801576065
75% Corpus,7,asymmetric,0.01,0.41846806565658706
75% Corpus,7,asymmetric,0.31,0.39566863202092467
75% Corpus,7,asymmetric,0.61,0.4280274344102835
75% Corpus,7,asymmetric,0.9099999999999999,0.4377195341392181
75% Corpus,7,asymmetric,symmetric,0.39176029942363205
75% Corpus,8,0.01,0.01,0.42229744649628354
75% Corpus,8,0.01,0.31,0.41635453320493904
75% Corpus,8,0.01,0.61,0.4292182469146687
75% Corpus,8,0.01,0.9099999999999999,0.4403350752403524
75% Corpus,8,0.01,symmetric,0.40143081971441585
75% Corpus,8,0.31,0.01,0.42465739376419775
75% Corpus,8,0.31,0.31,0.40794697646481615
75% Corpus,8,0.31,0.61,0.4302553556354292
75% Corpus,8,0.31,0.9099999999999999,0.4556788265803555
75% Corpus,8,0.31,symmetric,0.41200034990593326
75% Corpus,8,0.61,0.01,0.4293420423798684
75% Corpus,8,0.61,0.31,0.42169441630277943
75% Corpus,8,0.61,0.61,0.43403722119294774
75% Corpus,8,0.61,0.9099999999999999,0.465444017565343
75% Corpus,8,0.61,symmetric,0.41930145685830844
75% Corpus,8,0.9099999999999999,0.01,0.4304063518787601
75% Corpus,8,0.9099999999999999,0.31,0.41197129990951187
75% Corpus,8,0.9099999999999999,0.61,0.4492330709278607
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.42107502262757834
75% Corpus,8,0.9099999999999999,symmetric,0.41632718705363597
75% Corpus,8,symmetric,0.01,0.4119559578563478
75% Corpus,8,symmetric,0.31,0.4000838802247082
75% Corpus,8,symmetric,0.61,0.41622210743888227
75% Corpus,8,symmetric,0.9099999999999999,0.40889745239700986
75% Corpus,8,symmetric,symmetric,0.4069677136232178
75% Corpus,8,asymmetric,0.01,0.4361850658981138
75% Corpus,8,asymmetric,0.31,0.42553422213417436
75% Corpus,8,asymmetric,0.61,0.4470211971395403
75% Corpus,8,asymmetric,0.9099999999999999,0.41876340595940453
75% Corpus,8,asymmetric,symmetric,0.44133552496125317
75% Corpus,9,0.01,0.01,0.3991037432094726
75% Corpus,9,0.01,0.31,0.41736551156469087
75% Corpus,9,0.01,0.61,0.4220011564610761
75% Corpus,9,0.01,0.9099999999999999,0.5034999519133144
75% Corpus,9,0.01,symmetric,0.41394728587033797
75% Corpus,9,0.31,0.01,0.42194564586828437
75% Corpus,9,0.31,0.31,0.39250193542079387
75% Corpus,9,0.31,0.61,0.4769315581272349
75% Corpus,9,0.31,0.9099999999999999,0.524650997867592
75% Corpus,9,0.31,symmetric,0.42799439417083246
75% Corpus,9,0.61,0.01,0.4352733155050911
75% Corpus,9,0.61,0.31,0.42085648566492423
75% Corpus,9,0.61,0.61,0.5251864088898239
75% Corpus,9,0.61,0.9099999999999999,0.5334747511048104
75% Corpus,9,0.61,symmetric,0.4217904202443394
75% Corpus,9,0.9099999999999999,0.01,0.42628219478854246
75% Corpus,9,0.9099999999999999,0.31,0.3887905255654524
75% Corpus,9,0.9099999999999999,0.61,0.5247075869341115
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.5156052903494399
75% Corpus,9,0.9099999999999999,symmetric,0.43180151164176517
75% Corpus,9,symmetric,0.01,0.40665339844743165
75% Corpus,9,symmetric,0.31,0.4267702738676017
75% Corpus,9,symmetric,0.61,0.44105507900754043
75% Corpus,9,symmetric,0.9099999999999999,0.5014651520668892
75% Corpus,9,symmetric,symmetric,0.4157605632444787
75% Corpus,9,asymmetric,0.01,0.4519317168010968
75% Corpus,9,asymmetric,0.31,0.4206359991759606
75% Corpus,9,asymmetric,0.61,0.4777333204608897
75% Corpus,9,asymmetric,0.9099999999999999,0.507960334883629
75% Corpus,9,asymmetric,symmetric,0.41113867670427817
75% Corpus,10,0.01,0.01,0.3931614174466887
75% Corpus,10,0.01,0.31,0.40488951558695707
75% Corpus,10,0.01,0.61,0.40920582690692464
75% Corpus,10,0.01,0.9099999999999999,0.39422733744698013
75% Corpus,10,0.01,symmetric,0.3996195322437221
75% Corpus,10,0.31,0.01,0.4250554355395912
75% Corpus,10,0.31,0.31,0.4325122278678714
75% Corpus,10,0.31,0.61,0.46113602231743717
75% Corpus,10,0.31,0.9099999999999999,0.41944451255035736
75% Corpus,10,0.31,symmetric,0.40737259510987567
75% Corpus,10,0.61,0.01,0.43029541255927584
75% Corpus,10,0.61,0.31,0.44764324598420835
75% Corpus,10,0.61,0.61,0.5003739874590223
75% Corpus,10,0.61,0.9099999999999999,0.46122214227391145
75% Corpus,10,0.61,symmetric,0.42529429319479384
75% Corpus,10,0.9099999999999999,0.01,0.43124596609272936
75% Corpus,10,0.9099999999999999,0.31,0.41536132370163736
75% Corpus,10,0.9099999999999999,0.61,0.4916848870291455
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.5180896376407125
75% Corpus,10,0.9099999999999999,symmetric,0.4336914207794427
75% Corpus,10,symmetric,0.01,0.4071883864614848
75% Corpus,10,symmetric,0.31,0.38961427269885107
75% Corpus,10,symmetric,0.61,0.42311717601784676
75% Corpus,10,symmetric,0.9099999999999999,0.44470705306684116
75% Corpus,10,symmetric,symmetric,0.3907915139597712
75% Corpus,10,asymmetric,0.01,0.4443827393099422
75% Corpus,10,asymmetric,0.31,0.39556742242896165
75% Corpus,10,asymmetric,0.61,0.42276647306884846
75% Corpus,10,asymmetric,0.9099999999999999,0.46498793545970585
75% Corpus,10,asymmetric,symmetric,0.3872244747572441
100% Corpus,2,0.01,0.01,0.3531472341141834
100% Corpus,2,0.01,0.31,0.3524495319232265
100% Corpus,2,0.01,0.61,0.35634082511499454
100% Corpus,2,0.01,0.9099999999999999,0.3571660343066752
100% Corpus,2,0.01,symmetric,0.35522432474661453
100% Corpus,2,0.31,0.01,0.35191810314377975
100% Corpus,2,0.31,0.31,0.3563085874442221
100% Corpus,2,0.31,0.61,0.3536510223157202
100% Corpus,2,0.31,0.9099999999999999,0.35278225089104603
100% Corpus,2,0.31,symmetric,0.35278225089104603
100% Corpus,2,0.61,0.01,0.3539104360440408
100% Corpus,2,0.61,0.31,0.35244953192322653
100% Corpus,2,0.61,0.61,0.35980801191111667
100% Corpus,2,0.61,0.9099999999999999,0.3503384998439549
100% Corpus,2,0.61,symmetric,0.36176416178909304
100% Corpus,2,0.9099999999999999,0.01,0.3515915054670293
100% Corpus,2,0.9099999999999999,0.31,0.3616719031077074
100% Corpus,2,0.9099999999999999,0.61,0.354087676736354
